
> financial-wallet-frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'D:\\HK6 UIT\\DA1\\financial-wallet-frontend', testMode: true }
✓ Ready in 1191ms
 GET / 200 in 1939ms (compile: 1718ms, proxy.ts: 83ms, render: 139ms)
 GET /dashboard 200 in 1462ms (compile: 1433ms, proxy.ts: 5ms, render: 23ms)
 GET / 200 in 153ms (compile: 9ms, proxy.ts: 9ms, render: 135ms)
 GET /dashboard 200 in 66ms (compile: 11ms, proxy.ts: 8ms, render: 47ms)
 GET /wallet 200 in 1214ms (compile: 950ms, proxy.ts: 10ms, render: 254ms)
 GET /wallet/deposit 200 in 497ms (compile: 413ms, proxy.ts: 6ms, render: 78ms)
 GET /admin/audit-logs 200 in 530ms (compile: 469ms, proxy.ts: 6ms, render: 55ms)
 GET /login 200 in 812ms (compile: 669ms, proxy.ts: 9ms, render: 134ms)
 GET /login?callbackUrl=%2F.well-known%2Fappspecific%2Fcom.chrome.devtools.json 200 in 164ms (compile: 12ms, proxy.ts: 7ms, render: 145ms)
 GET /dashboard 200 in 67ms (compile: 8ms, proxy.ts: 8ms, render: 52ms)
 GET /admin/audit-logs 200 in 82ms (compile: 17ms, proxy.ts: 13ms, render: 52ms)
 GET /admin/settings 200 in 508ms (compile: 465ms, proxy.ts: 8ms, render: 35ms)
 GET /admin/roles 200 in 468ms (compile: 430ms, proxy.ts: 7ms, render: 30ms)
 GET /admin/departments 200 in 518ms (compile: 473ms, proxy.ts: 8ms, render: 37ms)
 GET /admin/departments/6 200 in 1039ms (compile: 983ms, proxy.ts: 6ms, render: 50ms)
 GET /admin/departments?search=tr%C3%A2 200 in 35ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /admin/departments?search=tr%C3%A2tr%C3%A2bnf 200 in 70ms (compile: 7ms, proxy.ts: 7ms, render: 56ms)
 GET /admin/departments?search=tr%C3%A2tr%C3%A2bn 200 in 71ms (compile: 26ms, proxy.ts: 3ms, render: 42ms)
 GET /admin/departments?search=tr%E1%BA%A7n 200 in 67ms (compile: 8ms, proxy.ts: 8ms, render: 51ms)
 GET /admin/departments?search=tr%E1%BA%A7n+th 200 in 39ms (compile: 7ms, proxy.ts: 6ms, render: 25ms)
 GET /admin/departments?search=tr%E1%BA%A7n+th%E1%BB%8B+b%C3%ADch 200 in 95ms (compile: 52ms, proxy.ts: 3ms, render: 39ms)
 GET /admin/departments?search=tr%E1%BA%A7n+th%E1%BB%8B+b%C3%ADc 200 in 196ms (compile: 9ms, proxy.ts: 5ms, render: 182ms)
 GET /admin/departments 200 in 39ms (compile: 4ms, proxy.ts: 6ms, render: 28ms)
 GET /admin/departments 200 in 99ms (compile: 8ms, proxy.ts: 9ms, render: 82ms)
 GET /admin/departments?search=Tr%E1%BA%A7n+Th%E1%BB%8B+B%C3%ADch 200 in 64ms (compile: 12ms, proxy.ts: 9ms, render: 43ms)
 GET /admin/departments?search=Tr%E1%BA%A7n+Th%E1%BB%8B+B%C3%ADc 200 in 63ms (compile: 8ms, proxy.ts: 7ms, render: 47ms)
 GET /admin/departments 200 in 32ms (compile: 5ms, proxy.ts: 4ms, render: 24ms)
 GET /admin/departments?search=API+Test+Dept+2+Updated 200 in 69ms (compile: 9ms, proxy.ts: 6ms, render: 54ms)
 GET /admin/departments?search=API+Test+Dept+2+Update 200 in 61ms (compile: 8ms, proxy.ts: 11ms, render: 42ms)
 GET /admin/departments 200 in 27ms (compile: 4ms, proxy.ts: 3ms, render: 21ms)
 GET /wallet 200 in 40ms (compile: 5ms, proxy.ts: 4ms, render: 31ms)
 GET /profile 200 in 628ms (compile: 592ms, proxy.ts: 6ms, render: 30ms)
 GET /notifications 200 in 598ms (compile: 538ms, proxy.ts: 5ms, render: 55ms)
 GET /admin/users 200 in 454ms (compile: 423ms, proxy.ts: 5ms, render: 26ms)
 GET /admin/departments 200 in 50ms (compile: 9ms, proxy.ts: 9ms, render: 31ms)
 GET /admin/departments 200 in 72ms (compile: 6ms, proxy.ts: 5ms, render: 60ms)
 GET /admin/users 200 in 29ms (compile: 4ms, proxy.ts: 3ms, render: 22ms)
 GET /admin/departments 200 in 46ms (compile: 9ms, proxy.ts: 5ms, render: 32ms)
 GET /admin/departments?page=2 200 in 46ms (compile: 7ms, proxy.ts: 5ms, render: 34ms)
 GET /admin/departments 200 in 33ms (compile: 5ms, proxy.ts: 4ms, render: 24ms)
 GET /admin/roles 200 in 39ms (compile: 6ms, proxy.ts: 4ms, render: 30ms)
 GET /admin/settings 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /admin/audit-logs 200 in 52ms (compile: 7ms, proxy.ts: 5ms, render: 41ms)
 GET /admin/settings 200 in 56ms (compile: 6ms, proxy.ts: 7ms, render: 43ms)
 GET /admin/audit-logs 200 in 123ms (compile: 55ms, proxy.ts: 33ms, render: 35ms)
 GET /dashboard 200 in 248ms (compile: 8ms, proxy.ts: 6ms, render: 233ms)
 GET /login 200 in 85ms (compile: 6ms, proxy.ts: 3ms, render: 76ms)
 GET /login 200 in 95ms (compile: 6ms, proxy.ts: 4ms, render: 86ms)
 GET /dashboard 200 in 56ms (compile: 8ms, proxy.ts: 6ms, render: 42ms)
 GET /admin/audit-logs 200 in 63ms (compile: 7ms, proxy.ts: 5ms, render: 51ms)
 GET /login 200 in 47ms (compile: 3ms, proxy.ts: 4ms, render: 40ms)
 GET /login 200 in 573ms (compile: 145ms, proxy.ts: 201ms, render: 227ms)
 GET /login 200 in 191ms (compile: 8ms, proxy.ts: 5ms, render: 178ms)
 GET /login 200 in 162ms (compile: 7ms, proxy.ts: 5ms, render: 150ms)
 GET /login 200 in 181ms (compile: 8ms, proxy.ts: 4ms, render: 168ms)
 GET /login 200 in 193ms (compile: 10ms, proxy.ts: 6ms, render: 177ms)
 GET /login 200 in 198ms (compile: 9ms, proxy.ts: 5ms, render: 183ms)
 GET /login 200 in 185ms (compile: 10ms, proxy.ts: 6ms, render: 169ms)
 GET /login 200 in 196ms (compile: 10ms, proxy.ts: 7ms, render: 179ms)
 GET /login 200 in 186ms (compile: 10ms, proxy.ts: 5ms, render: 171ms)
 GET /login 200 in 179ms (compile: 9ms, proxy.ts: 7ms, render: 163ms)
 GET /login 200 in 188ms (compile: 9ms, proxy.ts: 9ms, render: 170ms)
 GET /login 200 in 154ms (compile: 9ms, proxy.ts: 4ms, render: 141ms)
 GET /login 200 in 254ms (compile: 9ms, proxy.ts: 5ms, render: 240ms)
 GET /login 200 in 255ms (compile: 7ms, proxy.ts: 5ms, render: 243ms)
 GET /login 200 in 246ms (compile: 8ms, proxy.ts: 5ms, render: 233ms)
 GET /login 200 in 146ms (compile: 8ms, proxy.ts: 5ms, render: 134ms)
 GET /login 200 in 142ms (compile: 9ms, proxy.ts: 5ms, render: 128ms)
 GET /login 200 in 200ms (compile: 8ms, proxy.ts: 5ms, render: 187ms)
 GET /login 200 in 162ms (compile: 8ms, proxy.ts: 4ms, render: 150ms)
 GET /login 200 in 162ms (compile: 8ms, proxy.ts: 5ms, render: 149ms)
 GET /login 200 in 134ms (compile: 7ms, proxy.ts: 9ms, render: 117ms)
 GET /login 200 in 151ms (compile: 7ms, proxy.ts: 4ms, render: 140ms)
 GET /login 200 in 124ms (compile: 6ms, proxy.ts: 4ms, render: 113ms)
 GET /login 200 in 126ms (compile: 6ms, proxy.ts: 3ms, render: 116ms)
 GET /login 200 in 165ms (compile: 6ms, proxy.ts: 5ms, render: 154ms)
 GET /login 200 in 172ms (compile: 11ms, proxy.ts: 5ms, render: 156ms)
 GET /login 200 in 185ms (compile: 7ms, proxy.ts: 4ms, render: 174ms)
 GET /login 200 in 167ms (compile: 7ms, proxy.ts: 5ms, render: 154ms)
 GET /login 200 in 171ms (compile: 9ms, proxy.ts: 7ms, render: 155ms)
 GET /login 200 in 160ms (compile: 7ms, proxy.ts: 4ms, render: 149ms)
 GET /login 200 in 129ms (compile: 8ms, proxy.ts: 6ms, render: 115ms)
 GET /login 200 in 127ms (compile: 9ms, proxy.ts: 5ms, render: 113ms)
 GET /login 200 in 121ms (compile: 8ms, proxy.ts: 4ms, render: 109ms)
 GET /login 200 in 123ms (compile: 6ms, proxy.ts: 5ms, render: 112ms)
 GET /login 200 in 301ms (compile: 8ms, proxy.ts: 4ms, render: 289ms)
 GET /login 200 in 330ms (compile: 9ms, proxy.ts: 3ms, render: 317ms)
 GET /login 200 in 301ms (compile: 17ms, proxy.ts: 4ms, render: 281ms)
 GET /login 200 in 146ms (compile: 9ms, proxy.ts: 4ms, render: 133ms)
